tweet_id,favorite_count,retweet_count
892420643555336193,35719,7550
892177421306343426,30864,5596
891815181378084864,23211,3705
891689557279858688,39011,7730
891327558926688256,37261,8333
891087950875897856,18786,2794
890971913173991426,10915,1816
890729181411237888,60193,16892
890609185150312448,25841,3848
890240255349198849,29505,6571
890006608113172480,28426,6561
889880896479866881,25861,4466
889665388333682689,44487,8959
889638837579907072,25037,4004
889531135344209921,14052,2022
889278841981685760,23339,4775
888917238123831296,26955,4020
888804989199671297,23649,3791
888554962724278272,18256,3100
888078434458587136,20180,3111
887705289381826560,28045,4837
887517139158093824,42949,10562
887473957103951883,63633,16115
887343217045368832,31181,9400
887101392804085760,28385,5346
886983233522544640,32301,6854
886736880519319552,11083,2866
886680336477933568,20832,4010
886366144734445568,19567,2836
886267009285017600,111,4
886258384151887873,25920,5659
886054160059072513,0,99
885984800019947520,30179,6022
885528943205470208,33300,5726
885518971528720385,18955,3349
885311592912609280,0,16572
885167619883638784,20270,3911
884925521741709313,71310,16159
884876753390489601,25764,4995
884562892145688576,22523,4212
884441805382717440,25099,5103
884247878851493888,67158,18193
884162670584377345,18914,2680
883838122936631299,20233,3073
883482846933004288,42414,8850
883360690899218434,21005,3315
883117836046086144,34344,5964
882992080364220416,22133,3484
882762694511734784,26168,4379
882627270321602560,25938,5446
882268110199369728,41508,10378
882045870035918850,27158,4365
881906580714921986,22558,3049
881666595344535552,46937,9568
881633300179243008,115,7
881536004380872706,45825,14348
881268444196462592,21556,4739
880935762899988482,15851,2503
880872448815771648,19733,3435
880465832366813184,26363,5565
880221127280381952,24994,3732
880095782870896641,25599,3897
879862464715927552,20743,3122
879674319642796034,293,10
879492040517615616,21771,2861
879415818425184262,98062,39972
879376492567855104,15603,2813
879130579576475649,0,6111
879050749262655488,20909,4222
879008229531029506,17645,2406
878776093423087618,17968,3676
878604707211726852,27922,6353
878404777348136964,0,1152
878316110768087041,0,5966
878281511006478336,7172,1152
878057613040115712,39056,6111
877736472329191424,73488,17011
877611172832227328,0,72
877556246731214848,21059,3418
877316821321428993,25452,4675
877201837425926144,25164,5009
876838120628539392,19209,3000
876537666061221889,22023,4221
876484053909872640,17456,2129
876120275196170240,25994,4198
875747767867523072,23348,3846
875144289856114688,20392,4420
875097192612077568,25511,5479
875021211251597312,23711,4245
874680097055178752,25877,4175
874434818259525634,0,13094
874296783580663808,24235,3715
874057562936811520,21148,3593
874012996292530176,31856,9226
873580283840344065,22551,3560
873337748698140672,0,1431
873213775632977920,6667,1431
872967104147763200,25376,4896
872820683541237760,13738,3363
872620804844003328,19329,3297
872486979161796608,38023,8192
872122724285648897,31950,7332
871879754684805121,35044,9922
871762521631449091,18872,3163
871515927908634625,18841,3152
871166179821445120,0,5190
871102520638267392,19548,5003
871032628920680449,21251,3465
870804317367881728,31477,5633
870726314365509632,114,3
870656317836468226,11527,2386
870374049280663552,77717,24178
870308999962521604,20510,3774
870063196459192321,34183,7565
869772420881756160,39909,9259
869702957897576449,26432,5751
869596645499047938,14964,2847
869227993411051520,19148,3440
868880397819494401,61301,13168
868639477480148993,0,1892
868622495443632128,25008,4836
868552278524837888,9452,1892
867900495410671616,22753,3830
867774946302451713,31895,6722
867421006826221569,15125,2285
867072653475098625,0,110
